student_id,gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
id-91,male,group C,high school,free/reduced,,27,34,36
id-92,male,group C,high school,standard,,71,79,71
id-93,male,group C,associate's degree,free/reduced,completed,43,45,50
id-94,female,group B,some college,standard,,79,86,92
id-95,male,group C,associate's degree,free/reduced,completed,78,81,82
id-96,male,group B,some high school,standard,completed,65,66,62
id-97,female,group E,some college,standard,completed,63,72,70
id-98,female,group D,some college,free/reduced,,58,67,62
id-99,female,group D,bachelor's degree,standard,,65,67,62
id-100,male,group B,some college,standard,,79,67,67
id-101,male,group D,bachelor's degree,standard,completed,68,74,74
id-102,female,group D,associate's degree,standard,,85,91,89
id-103,male,group B,high school,standard,completed,60,44,47
id-104,male,group C,some college,standard,completed,98,86,90
id-105,female,group C,some college,standard,,58,67,72
id-106,female,group D,master's degree,standard,,87,100,100
id-107,male,group E,associate's degree,standard,completed,66,63,64
id-108,female,group B,associate's degree,free/reduced,,52,76,70
id-109,female,group B,some high school,standard,,70,64,72
id-110,female,group D,associate's degree,free/reduced,completed,77,89,98
id-111,male,group C,high school,standard,,62,55,49
id-112,male,group A,associate's degree,standard,,54,53,47
id-113,female,group D,some college,standard,,51,58,54
id-114,female,group E,bachelor's degree,standard,completed,99,100,100
id-115,male,group C,high school,standard,,84,77,74
id-116,female,group B,bachelor's degree,free/reduced,,75,85,82
id-117,female,group D,bachelor's degree,standard,,78,82,79
id-118,female,group D,some high school,standard,,51,63,61
id-119,female,group C,some college,standard,,55,69,65
id-120,female,group C,bachelor's degree,standard,completed,79,92,89
id-121,male,group B,associate's degree,standard,completed,91,89,92
id-122,female,group C,some college,standard,completed,88,93,93
id-123,male,group D,high school,free/reduced,,63,57,56
id-124,male,group E,some college,standard,,83,80,73
id-125,female,group B,high school,standard,,87,95,86
id-126,male,group B,some high school,standard,,72,68,67
id-127,male,group D,some college,standard,completed,65,77,74
id-128,male,group D,master's degree,standard,,82,82,74
id-129,female,group A,bachelor's degree,standard,,51,49,51
id-130,male,group D,master's degree,standard,,89,84,82
id-131,male,group C,some high school,free/reduced,completed,53,37,40
id-132,male,group E,some college,free/reduced,completed,87,74,70
id-133,female,group C,some college,standard,completed,75,81,84
id-134,male,group D,bachelor's degree,free/reduced,completed,74,79,75
id-135,male,group C,bachelor's degree,standard,,58,55,48
id-136,male,group B,some high school,standard,completed,51,54,41
id-137,male,group E,high school,standard,,70,55,56
id-138,female,group C,associate's degree,standard,,59,66,67
id-139,male,group D,some college,standard,completed,71,61,69
id-140,female,group D,some high school,standard,,76,72,71
id-141,female,group C,some college,free/reduced,,59,62,64
id-142,female,group E,some college,free/reduced,completed,42,55,54
id-143,male,group A,high school,standard,,57,43,47
id-144,male,group D,some college,standard,,88,73,78
id-145,female,group C,some college,free/reduced,,22,39,33
id-146,male,group B,some high school,standard,,88,84,75
id-147,male,group C,associate's degree,free/reduced,,73,68,66
id-148,female,group D,bachelor's degree,standard,completed,68,75,81
id-149,male,group E,associate's degree,free/reduced,completed,100,100,93
id-150,male,group A,some high school,standard,completed,62,67,69
id-151,male,group A,bachelor's degree,standard,,77,67,68
id-152,female,group B,associate's degree,standard,completed,59,70,66
id-153,male,group D,bachelor's degree,standard,,54,49,47
id-154,male,group D,some high school,standard,,62,67,61
id-155,female,group C,some college,standard,completed,70,89,88
id-156,female,group E,high school,free/reduced,completed,66,74,78
id-157,male,group B,some college,free/reduced,,60,60,60
id-158,female,group B,associate's degree,standard,completed,61,86,87
id-159,male,group D,associate's degree,free/reduced,,66,62,64
id-160,male,group B,associate's degree,free/reduced,completed,82,78,74
id-161,female,group E,some college,free/reduced,completed,75,88,85
id-162,male,group B,master's degree,free/reduced,,49,53,52
id-163,male,group C,high school,standard,,52,53,49
id-164,female,group E,master's degree,standard,,81,92,91
id-165,female,group C,bachelor's degree,standard,completed,96,100,100
id-166,male,group C,high school,free/reduced,completed,53,51,51
id-167,female,group B,master's degree,free/reduced,completed,58,76,78
id-168,female,group B,high school,standard,completed,68,83,78
id-169,female,group C,some college,free/reduced,completed,67,75,70
id-170,male,group A,high school,standard,completed,72,73,74
id-171,male,group E,some high school,standard,,94,88,78
id-172,female,group D,some college,standard,,79,86,81
id-173,female,group C,associate's degree,standard,,63,67,70
id-174,female,group C,bachelor's degree,free/reduced,completed,43,51,54
id-175,female,group C,master's degree,standard,completed,81,91,87
id-176,female,group B,high school,free/reduced,completed,46,54,58
id-177,female,group C,associate's degree,standard,completed,71,77,77
id-178,female,group B,master's degree,free/reduced,completed,52,70,62
id-179,female,group D,some high school,standard,completed,97,100,100
id-180,male,group C,master's degree,free/reduced,completed,62,68,75
id-181,female,group C,some college,free/reduced,,46,64,66
id-182,female,group E,high school,standard,,50,50,47
id-183,female,group D,associate's degree,standard,,65,69,70
id-184,male,group C,some high school,free/reduced,completed,45,52,49
id-185,male,group C,associate's degree,free/reduced,completed,65,67,65
id-186,male,group E,high school,standard,,80,76,65
id-187,male,group D,some high school,standard,completed,62,66,68
id-188,male,group B,some high school,free/reduced,,48,52,45
id-189,female,group C,bachelor's degree,standard,,77,88,87
id-190,female,group E,associate's degree,standard,,66,65,69
id-191,male,group D,some college,standard,completed,76,83,79
id-192,female,group B,some high school,standard,,62,64,66
id-193,male,group D,some college,standard,completed,77,62,62
id-194,female,group C,master's degree,standard,completed,69,84,85
id-195,male,group D,associate's degree,standard,,61,55,52
id-196,male,group C,some high school,free/reduced,completed,59,69,65
id-197,male,group E,high school,free/reduced,,55,56,51
id-198,female,group B,some college,free/reduced,,45,53,55
id-199,female,group B,bachelor's degree,free/reduced,,78,79,76
id-200,female,group C,associate's degree,standard,completed,67,84,86
id-201,female,group D,some college,free/reduced,,65,81,77
id-202,male,group C,associate's degree,standard,,69,77,69
id-203,female,group B,associate's degree,standard,,57,69,68
id-204,male,group C,some college,standard,,59,41,42
id-205,male,group D,some high school,standard,completed,74,71,78
id-206,male,group E,bachelor's degree,standard,,82,62,62
id-207,male,group E,high school,standard,completed,81,80,76
id-208,female,group B,some college,free/reduced,,74,81,76
id-209,female,group B,some college,free/reduced,,58,61,66
id-210,male,group D,some high school,free/reduced,completed,80,79,79
id-211,male,group C,some college,free/reduced,,35,28,27
id-212,female,group C,high school,free/reduced,,42,62,60
id-213,male,group C,associate's degree,free/reduced,completed,60,51,56
id-214,male,group E,high school,standard,completed,87,91,81
id-215,male,group B,some high school,standard,completed,84,83,75
id-216,female,group E,associate's degree,free/reduced,completed,83,86,88
id-217,female,group C,high school,free/reduced,,34,42,39
id-218,male,group B,high school,free/reduced,,66,77,70
id-219,male,group B,some high school,standard,completed,61,56,56
id-220,female,group D,high school,standard,completed,56,68,74
id-221,male,group B,associate's degree,standard,,87,85,73
id-222,female,group C,some high school,free/reduced,,55,65,62
id-223,male,group D,some high school,standard,,86,80,75
id-224,female,group B,associate's degree,standard,completed,52,66,73
id-225,female,group E,master's degree,free/reduced,,45,56,54
id-226,female,group C,some college,standard,,72,72,71
id-227,male,group D,high school,standard,,57,50,54
id-228,male,group A,some high school,free/reduced,,68,72,64
id-229,female,group C,some college,standard,completed,88,95,94
id-230,male,group D,some college,standard,,76,64,66
id-231,male,group C,associate's degree,standard,,46,43,42
id-232,female,group B,bachelor's degree,standard,,67,86,83
id-233,male,group E,some high school,standard,,92,87,78
id-234,male,group C,bachelor's degree,standard,completed,83,82,84
id-235,male,group D,associate's degree,standard,,80,75,77
id-236,male,group D,bachelor's degree,free/reduced,,63,66,67
id-237,female,group D,some high school,standard,completed,64,60,74
id-238,male,group B,some college,standard,,54,52,51
id-239,male,group C,associate's degree,standard,,84,80,80
id-240,male,group D,high school,free/reduced,completed,73,68,66
id-241,female,group E,bachelor's degree,standard,,80,83,83
id-242,female,group D,high school,standard,,56,52,55
id-243,male,group E,some college,standard,,59,51,43
id-244,male,group D,some high school,standard,,75,74,69
id-245,male,group C,associate's degree,standard,,85,76,71
id-246,male,group E,associate's degree,standard,,89,76,74
id-247,female,group B,high school,standard,completed,58,70,68
id-248,female,group B,high school,standard,,65,64,62
id-249,male,group C,high school,standard,,68,60,53
id-250,male,group A,some high school,standard,completed,47,49,49
id-251,female,group D,some college,free/reduced,,71,83,83
id-252,female,group B,some high school,standard,completed,60,70,70
id-253,male,group D,master's degree,standard,,80,80,72
id-254,male,group D,high school,standard,,54,52,52
id-255,female,group E,some college,standard,,62,73,70
id-256,female,group C,associate's degree,free/reduced,,64,73,68
id-257,male,group C,associate's degree,standard,completed,78,77,77
id-258,female,group B,some college,standard,,70,75,78
id-259,female,group C,master's degree,free/reduced,completed,65,81,81
id-260,female,group C,some high school,free/reduced,completed,64,79,77
id-261,male,group C,some college,standard,completed,79,79,78
id-262,female,group C,some high school,free/reduced,,44,50,51
id-263,female,group E,high school,standard,,99,93,90
id-264,male,group D,high school,standard,,76,73,68
id-265,male,group D,some high school,free/reduced,,59,42,41
id-266,female,group C,bachelor's degree,standard,,63,75,81
id-267,female,group D,high school,standard,,69,72,77
id-268,female,group D,associate's degree,standard,completed,88,92,95
id-269,female,group E,some college,free/reduced,,71,76,70
id-270,male,group C,bachelor's degree,standard,,69,63,61
id-271,male,group C,some college,standard,,58,49,42
id-272,female,group D,associate's degree,free/reduced,,47,53,58
id-273,female,group D,some college,standard,,65,70,71
id-274,male,group B,some college,standard,completed,88,85,76
id-275,male,group C,bachelor's degree,standard,,83,78,73
id-276,female,group C,some high school,standard,completed,85,92,93
id-277,female,group E,high school,standard,completed,59,63,75
id-278,female,group C,some high school,free/reduced,,65,86,80
id-279,male,group B,bachelor's degree,free/reduced,,73,56,57
id-280,male,group D,high school,standard,,53,52,42
id-281,male,group D,high school,standard,,45,48,46
id-282,female,group D,bachelor's degree,free/reduced,,73,79,84
id-283,female,group D,some college,free/reduced,completed,70,78,78
id-284,female,group B,some high school,standard,,37,46,46
id-285,male,group B,associate's degree,standard,completed,81,82,82
id-286,male,group E,associate's degree,standard,completed,97,82,88
id-287,female,group B,some high school,standard,,67,89,82
id-288,male,group B,bachelor's degree,free/reduced,,88,75,76
id-289,male,group E,some high school,standard,completed,77,76,77
id-290,male,group C,associate's degree,standard,,76,70,68
id-291,male,group D,some high school,standard,,86,73,70
id-292,male,group C,some high school,standard,completed,63,60,57
id-293,female,group E,bachelor's degree,standard,,65,73,75
id-294,male,group D,high school,free/reduced,completed,78,77,80
id-295,male,group B,associate's degree,free/reduced,,67,62,60
id-296,male,group A,some high school,standard,completed,46,41,43
id-297,male,group E,associate's degree,standard,completed,71,74,68
id-298,male,group C,high school,free/reduced,completed,40,46,50
id-299,male,group D,associate's degree,free/reduced,,90,87,75
id-300,male,group A,some college,free/reduced,completed,81,78,81
id-301,male,group D,some high school,free/reduced,,56,54,52
id-302,female,group C,associate's degree,standard,completed,67,84,81
id-303,male,group B,associate's degree,standard,,80,76,64
id-304,female,group C,associate's degree,standard,completed,74,75,83
id-305,male,group A,some college,standard,,69,67,69
id-306,male,group E,some college,standard,completed,99,87,81
id-307,male,group C,some high school,standard,,51,52,44
id-308,female,group B,associate's degree,free/reduced,,53,71,67
id-309,female,group D,high school,free/reduced,,49,57,52
id-310,female,group B,associate's degree,standard,,73,76,80
id-311,male,group B,bachelor's degree,standard,,66,60,57
id-312,male,group D,bachelor's degree,standard,completed,67,61,68
id-313,female,group C,associate's degree,free/reduced,completed,68,67,69
id-314,female,group C,bachelor's degree,standard,completed,59,64,75
id-315,male,group C,high school,standard,,71,66,65
id-316,female,group D,master's degree,standard,completed,77,82,91
id-317,male,group C,associate's degree,standard,,83,72,78
id-318,male,group B,bachelor's degree,standard,,63,71,69
id-319,female,group D,associate's degree,free/reduced,,56,65,63
id-320,female,group C,high school,free/reduced,completed,67,79,84
id-321,female,group E,high school,standard,,75,86,79
id-322,female,group C,some college,standard,,71,81,80
id-323,female,group C,some high school,free/reduced,,43,53,53
id-324,female,group C,high school,free/reduced,,41,46,43
id-325,female,group C,some college,standard,,82,90,94
id-326,male,group C,some college,standard,,61,61,62
id-327,male,group A,some college,free/reduced,,28,23,19
id-328,male,group C,associate's degree,standard,completed,82,75,77
id-329,female,group B,some high school,standard,,41,55,51
id-330,male,group C,high school,standard,,71,60,61
id-331,male,group C,associate's degree,standard,,47,37,35
id-332,male,group E,associate's degree,standard,completed,62,56,53
id-333,male,group B,associate's degree,standard,,90,78,81
id-334,female,group C,bachelor's degree,standard,,83,93,95
id-335,female,group B,some college,free/reduced,,61,68,66
id-336,male,group D,some high school,standard,completed,76,70,69
id-337,male,group C,associate's degree,standard,,49,51,43
id-338,female,group B,some high school,free/reduced,,24,38,27
id-339,female,group D,some high school,free/reduced,completed,35,55,60
id-340,male,group C,high school,free/reduced,,58,61,52
id-341,female,group C,high school,standard,,61,73,63
id-342,female,group B,high school,standard,completed,69,76,74
id-343,male,group D,associate's degree,standard,completed,67,72,67
id-344,male,group D,some college,standard,,79,73,67
id-345,female,group C,high school,standard,,72,80,75
id-346,male,group B,some college,standard,,62,61,57
id-347,female,group C,bachelor's degree,standard,completed,77,94,95
id-348,male,group D,high school,free/reduced,,75,74,66
id-349,male,group E,associate's degree,standard,,87,74,76
id-350,female,group B,bachelor's degree,standard,,52,65,69
id-351,male,group E,some college,standard,,66,57,52
id-352,female,group C,some college,standard,completed,63,78,80
id-353,female,group C,associate's degree,standard,,46,58,57
id-354,female,group C,some college,standard,,59,71,70
id-355,female,group B,bachelor's degree,standard,,61,72,70
id-356,male,group A,associate's degree,standard,,63,61,61
id-357,female,group C,some college,free/reduced,completed,42,66,69
id-358,male,group D,some college,free/reduced,,59,62,61
id-359,female,group D,some college,standard,,80,90,89
id-360,female,group B,high school,standard,,58,62,59
id-361,male,group B,some high school,standard,completed,85,84,78
id-362,female,group C,some college,standard,,52,58,58
id-363,female,group D,some high school,free/reduced,,27,34,32
id-364,male,group C,some college,standard,,59,60,58
id-365,male,group A,bachelor's degree,free/reduced,completed,49,58,60
id-366,male,group C,high school,standard,completed,69,58,53
id-367,male,group C,bachelor's degree,free/reduced,,61,66,61
id-368,female,group A,some high school,free/reduced,,44,64,58
id-369,female,group D,some high school,standard,,73,84,85
id-370,male,group E,some college,standard,,84,77,71
id-371,female,group C,some college,free/reduced,completed,45,73,70
id-372,male,group D,some high school,standard,,74,74,72
id-373,female,group D,some college,standard,completed,82,97,96
id-374,female,group D,bachelor's degree,standard,,59,70,73
id-375,male,group E,associate's degree,free/reduced,,46,43,41
id-376,female,group D,some high school,standard,,80,90,82
id-377,female,group D,master's degree,free/reduced,completed,85,95,100
id-378,female,group A,some high school,standard,,71,83,77
id-379,male,group A,bachelor's degree,standard,,66,64,62
id-380,female,group B,associate's degree,standard,,80,86,83
id-381,male,group C,associate's degree,standard,completed,87,100,95
id-382,male,group C,master's degree,free/reduced,,79,81,71
id-383,female,group E,some high school,free/reduced,,38,49,45
id-384,female,group A,some high school,free/reduced,,38,43,43
id-385,female,group E,some college,standard,,67,76,75
id-386,female,group E,bachelor's degree,standard,,64,73,70
id-387,female,group C,associate's degree,free/reduced,,57,78,67
id-388,female,group D,high school,standard,,62,64,64
id-389,male,group D,master's degree,standard,,73,70,75
id-390,male,group E,some high school,free/reduced,completed,73,67,59
id-391,female,group D,some college,standard,,77,68,77
id-392,male,group E,some college,standard,,76,67,67
id-393,male,group C,associate's degree,standard,completed,57,54,56
id-394,female,group C,some high school,standard,completed,65,74,77
id-395,male,group A,high school,free/reduced,,48,45,41
id-396,female,group B,high school,free/reduced,,50,67,63
id-397,female,group C,associate's degree,standard,,85,89,95
id-398,male,group B,some high school,standard,,74,63,57
id-399,male,group D,some high school,standard,,60,59,54
id-400,female,group C,some high school,standard,completed,59,54,67
id-401,male,group A,some college,standard,,53,43,43
id-402,female,group A,some college,free/reduced,,49,65,55
id-403,female,group D,high school,standard,completed,88,99,100
id-404,female,group C,high school,standard,,54,59,62
id-405,female,group C,some high school,standard,,63,73,68
id-406,male,group B,associate's degree,standard,completed,65,65,63
id-407,female,group B,associate's degree,standard,,82,80,77
id-408,female,group D,high school,free/reduced,completed,52,57,56
id-409,male,group D,associate's degree,standard,completed,87,84,85
id-410,female,group D,master's degree,standard,completed,70,71,74
id-411,male,group E,some college,standard,completed,84,83,78
id-412,male,group D,associate's degree,standard,,71,66,60
id-413,male,group B,some high school,standard,completed,63,67,67
id-414,female,group C,bachelor's degree,free/reduced,completed,51,72,79
id-415,male,group E,high school,standard,,84,73,69
id-416,male,group C,bachelor's degree,standard,completed,71,74,68
id-417,male,group C,associate's degree,standard,,74,73,67
id-418,male,group D,some college,standard,,68,59,62
id-419,male,group E,high school,free/reduced,completed,57,56,54
id-420,female,group C,associate's degree,free/reduced,completed,82,93,93
id-421,female,group D,high school,standard,completed,57,58,64
id-422,female,group D,master's degree,free/reduced,completed,47,58,67
id-423,female,group A,some high school,standard,completed,59,85,80
id-424,male,group B,some college,free/reduced,,41,39,34
id-425,female,group C,some college,free/reduced,,62,67,62
id-426,male,group C,bachelor's degree,standard,,86,83,86
id-427,male,group C,some high school,free/reduced,,69,71,65
id-428,male,group A,some high school,free/reduced,,65,59,53
id-429,male,group C,some high school,free/reduced,,68,63,54
id-430,male,group C,associate's degree,free/reduced,,64,66,59
id-431,female,group C,high school,standard,,61,72,70
id-432,male,group C,high school,standard,,61,56,55
id-433,female,group A,some high school,free/reduced,,47,59,50
id-434,male,group C,some high school,standard,,73,66,66
id-435,male,group C,some college,free/reduced,completed,50,48,53
id-436,male,group D,associate's degree,standard,,75,68,64
id-437,male,group D,associate's degree,free/reduced,,75,66,73
id-438,male,group C,high school,standard,,70,56,51
id-439,male,group D,some high school,standard,completed,89,88,82
id-440,female,group C,some college,standard,completed,67,81,79
id-441,female,group D,high school,standard,,78,81,80
id-442,female,group A,some high school,free/reduced,,59,73,69
id-443,female,group B,associate's degree,standard,,73,83,76
id-444,male,group A,some high school,free/reduced,,79,82,73
id-445,female,group C,some high school,standard,completed,67,74,77
id-446,male,group D,some college,free/reduced,,69,66,60
id-447,male,group C,high school,standard,completed,86,81,80
id-448,male,group B,high school,standard,,47,46,42
id-449,male,group B,associate's degree,standard,,81,73,72
id-450,female,group C,some college,free/reduced,completed,64,85,85
id-451,female,group E,some college,standard,,100,92,97
id-452,female,group C,associate's degree,free/reduced,,65,77,74
id-453,male,group C,some college,free/reduced,,65,58,49
id-454,female,group C,associate's degree,free/reduced,,53,61,62
id-455,male,group C,bachelor's degree,free/reduced,,37,56,47
id-456,female,group D,bachelor's degree,standard,,79,89,89
id-457,male,group D,associate's degree,free/reduced,,53,54,48
id-458,female,group E,bachelor's degree,standard,,100,100,100
id-459,male,group B,high school,standard,completed,72,65,68
id-460,male,group C,bachelor's degree,free/reduced,,53,58,55
id-461,male,group B,some college,free/reduced,,54,54,45
id-462,female,group E,some college,standard,,71,70,76
id-463,female,group C,some college,free/reduced,,77,90,91
id-464,male,group A,bachelor's degree,standard,completed,75,58,62
id-465,female,group C,some college,standard,,84,87,91
id-466,female,group D,associate's degree,free/reduced,,26,31,38
id-467,male,group A,high school,free/reduced,completed,72,67,65
id-468,female,group A,high school,free/reduced,completed,77,88,85
id-469,male,group C,some college,standard,,91,74,76
id-470,female,group C,associate's degree,standard,completed,83,85,90
id-471,female,group C,high school,standard,,63,69,74
id-472,female,group C,associate's degree,standard,completed,68,86,84
id-473,female,group D,some high school,standard,,59,67,61
id-474,female,group B,associate's degree,standard,completed,90,90,91
id-475,female,group D,bachelor's degree,standard,completed,71,76,83
id-476,male,group E,bachelor's degree,standard,completed,76,62,66
id-477,male,group D,associate's degree,standard,,80,68,72
id-478,female,group D,master's degree,standard,,55,64,70
id-479,male,group E,associate's degree,standard,,76,71,67
id-480,male,group B,high school,standard,completed,73,71,68
id-481,female,group D,associate's degree,free/reduced,,52,59,56
id-482,male,group C,some college,free/reduced,,68,68,61
id-483,male,group A,high school,standard,,59,52,46
id-484,female,group B,associate's degree,standard,,49,52,54
id-485,male,group C,high school,standard,,70,74,71
id-486,male,group D,some college,free/reduced,,61,47,56
id-487,female,group C,associate's degree,free/reduced,,60,75,74
id-488,male,group B,some high school,standard,completed,64,53,57
id-489,male,group A,associate's degree,free/reduced,completed,79,82,82
id-490,female,group A,associate's degree,free/reduced,,65,85,76
id-491,female,group C,associate's degree,standard,,64,64,70
id-492,female,group C,some college,standard,,83,83,90
id-493,female,group C,bachelor's degree,standard,,81,88,90
id-494,female,group B,high school,standard,,54,64,68
id-495,male,group D,high school,standard,completed,68,64,66
id-496,female,group C,some college,standard,,54,48,52
id-497,female,group D,some college,free/reduced,completed,59,78,76
id-498,female,group B,some high school,standard,,66,69,68
id-499,male,group E,some college,standard,,76,71,72
id-500,female,group D,master's degree,standard,,74,79,82
id-501,female,group B,associate's degree,standard,completed,94,87,92
id-502,male,group C,some college,free/reduced,,63,61,54
id-503,female,group E,associate's degree,standard,completed,95,89,92
id-504,female,group D,master's degree,free/reduced,,40,59,54
id-505,female,group B,some high school,standard,,82,82,80
id-506,male,group A,high school,standard,,68,70,66
id-507,male,group B,bachelor's degree,free/reduced,,55,59,54
id-508,male,group C,master's degree,standard,,79,78,77
id-509,female,group C,bachelor's degree,standard,,86,92,87
id-510,male,group D,some college,standard,,76,71,73
id-511,male,group A,some high school,standard,,64,50,43
id-512,male,group D,some high school,free/reduced,,62,49,52
id-513,female,group B,some high school,standard,completed,54,61,62
id-514,female,group B,master's degree,free/reduced,completed,77,97,94
id-515,female,group C,some high school,standard,completed,76,87,85
id-516,female,group D,some college,standard,,74,89,84
id-517,female,group E,some college,standard,completed,66,74,73
id-518,female,group D,some high school,standard,completed,66,78,78
id-519,female,group B,high school,free/reduced,completed,67,78,79
id-520,male,group D,some college,standard,,71,49,52
id-521,female,group C,associate's degree,standard,,91,86,84
id-522,male,group D,bachelor's degree,standard,,69,58,57
id-523,male,group C,master's degree,free/reduced,,54,59,50
id-524,male,group C,high school,standard,completed,53,52,49
id-525,male,group E,some college,standard,,68,60,59
id-526,male,group C,some high school,free/reduced,completed,56,61,60
id-527,female,group C,high school,free/reduced,,36,53,43
id-528,female,group D,bachelor's degree,free/reduced,,29,41,47
id-529,female,group C,associate's degree,standard,,62,74,70
id-530,female,group C,associate's degree,standard,completed,68,67,73
id-531,female,group C,some high school,standard,,47,54,53
id-532,male,group E,associate's degree,standard,completed,62,61,58
id-533,female,group E,associate's degree,standard,completed,79,88,94
id-534,male,group B,high school,standard,completed,73,69,68
id-535,female,group C,bachelor's degree,free/reduced,completed,66,83,83
id-536,male,group C,associate's degree,standard,completed,51,60,58
id-537,female,group D,high school,standard,,51,66,62
id-538,male,group E,bachelor's degree,standard,completed,85,66,71
id-539,male,group A,associate's degree,standard,completed,97,92,86
id-540,male,group C,high school,standard,completed,75,69,68
id-541,male,group D,associate's degree,free/reduced,completed,79,82,80
id-542,female,group C,associate's degree,standard,,81,77,79
id-543,female,group D,associate's degree,standard,,82,95,89
id-544,female,group D,master's degree,standard,,64,63,66
id-545,male,group E,some high school,free/reduced,completed,78,83,80
id-546,female,group A,some high school,standard,completed,92,100,97
id-547,male,group C,high school,standard,completed,72,67,64
